 Optimized Parameter
a1 = ,       0.143042
a2 = ,       0.130756
a3 = ,       0.107708
a4 = ,       0.009635
b1 = ,       0.082909
b2 = ,       0.044447
z1 = ,      47.891003
z2 = ,      58.731998
z3 = ,       4.241359
s1 = ,       2.155989
s2 = ,      15.021837
s3 = ,      36.030895
Er = ,  126894.093750
NS = ,       0.915985

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
  315,   0.20330,   4.36000,   6.26058
  316,   0.19550,   5.04000,   6.29083
  317,   0.18810,   4.75000,   6.30814
  318,   0.18120,  11.66000,   6.31300
  319,   0.17460,   4.12000,   6.30606
  320,   0.16830,   4.42000,   6.28805
  321,   0.16230,   7.64000,   6.25977
  322,   0.46090,   4.67000,   6.32363
  323,   1.58800,   3.57000,   6.83495
  324,   1.43710,   3.11000,   7.63935
  325,   1.40480,   5.16000,   8.65247
  326,   1.03130,   4.90000,   9.69213
  327,   0.36360,   3.36000,  10.51770
  328,   0.39390,   4.82000,  11.17678
  329,   0.19060,   8.73000,  11.63060
  330,   0.18290,   6.13000,  11.91658
  331,   0.17580,  11.90000,  12.06615
  332,   0.16900,   2.09000,  12.10554
  333,   0.16260,   6.13000,  12.05666
  334,   0.15650,   6.53000,  11.93777
  335,   0.15080,   6.13000,  11.76406
  336,   0.14540,   6.08000,  11.54812
  337,   0.14410,   6.16000,  11.30165
  338,   0.13890,   6.12000,  11.03282
  339,   0.13400,   6.31000,  10.74835
  340,   0.12940,   6.31000,  10.45378
  341,   0.12500,   5.86000,  10.15357
  342,   0.12080,   5.49000,   9.85136
  343,   0.11690,   5.29000,   9.55007
  344,   0.11320,   6.13000,   9.25203
  345,   0.10970,   6.13000,   8.95909
  346,   0.53150,   5.76000,   8.81452
  347,   0.63790,   6.13000,   8.82316
  348,   0.37900,   5.76000,   8.86508
  349,   0.51560,   6.13000,   8.97822
  350,   0.63150,   5.76000,   9.18448
  351,   0.70090,   6.53000,   9.48433
  352,   0.90610,   7.54000,   9.92235
  353,   0.67380,   8.17000,  10.38573
  354,   0.64190,   8.91000,  10.85300
  355,   0.61180,  11.68000,  11.30797
  356,   0.58340,  11.89000,  11.73872
  357,   0.55650,   9.80000,  12.13675
  358,   0.53100,   9.80000,  12.49629
  359,   0.50700,   2.12000,  12.81380
  360,   0.48420,  20.07000,  13.08743
  361,   0.46260,   3.31000,  13.31666
  362,   0.44210,  15.88000,  13.50196
  363,   0.42280,   9.29000,  13.64466
  364,   0.40450,   9.19000,  13.74660
  365,   0.38710,   8.51000,  13.81001
  366,   0.37060,   8.30000,  13.83740
  367,   0.35500,  12.57000,  13.83143
  368,   0.44860,   7.54000,  13.83103
  369,   0.36420,   8.17000,  13.80710
  370,   0.31840,   8.91000,  13.75008
  371,   0.30560,   7.75000,  13.66392
  372,   0.32700,   2.18000,  13.56345
  373,   0.35560,   9.80000,  13.46279
  374,   0.37200,   9.80000,  13.36892
  375,   0.37740,   9.80000,  13.28350
  376,   0.36080,   7.00000,  13.20040
  377,   0.34490,   0.00000,  13.11501
  378,   0.32990,   8.46000,  13.02409
  379,   0.31560,   1.91000,  12.92536
  380,   0.30220,   0.00000,  12.81745
  381,   0.28950,  10.08000,  12.69963
  382,   0.27740,   8.40000,  12.57162
  383,   0.26600,   9.18000,  12.43356
  384,   0.25520,  12.45000,  12.28588
  385,   0.25150,  12.43000,  12.13138
  386,   0.24120,  11.84000,  11.97010
  387,   0.23150,  12.07000,  11.80237
  388,   0.22220,   8.07000,  11.62864
  389,   0.21350,  12.27000,  11.44952
